1,Normale,`RUE JEAN WOLTER (COIN RUE JEAN WOLTER, RUE JOS PAQUET)`,08:00,ALZINGEN,79781.269340625,71005.5226011062
10,Normale,`111, ROUTE DE LUXEMBOURG (QUICK)`,10:00,BERELDANGE,77096.68850000016,79633.76839954726
1000,Normale,`ZONE INDUSTRIELLE (Z.I. MATCH)`,08:30,LIVANGE,76450.8996751634,66128.0399400648
1001,Normale,`1, RUE DU COMMERCE`,11:30,MAMER,69549.15550000033,77157.44229954417
1002,Normale,`2, RUE DE LA GARE`,10:30,MAMER,69317.19099999961,76801.51089954586
1003,Normale,`5, RUE DU MARCHE (AM CIPA)`,08:00,MAMER,69756.63650000011,76902.52449954487
1005,Normale,`87, ROUTE D'ARLON`,08:00,MAMER,69313.02630000001,77513.43779954551
1008,Normale,`RUE GAASCHTBIERG (COIN RUE GAASCHTBIERG / RUE MONT ROYAL)`,09:30,MAMER,70528.706018,77045.4572055458
1009,Normale,`RUE DE DANGE ST. ROMAIN`,09:30,MAMER,70210.6779451613,76725.7812576103
101,Normale,`1, PLACE DE L'EUROPE (PHILHARMONIE)`,16:30,LUXEMBOURG,78153.05709999992,76025.96989954787
1010,Normale,`ROUTE DE HOLZEM (COIN RUE DE HOLZEM / RUE DU BAUMBUSCH)`,09:30,MAMER,68938.0397016949,76702.3966215797
1011,Normale,`RUE DE DONDELANGE (CHAPELLE)`,10:00,MEISPELT,71764.1502285716,83959.903799548
1012,Normale,`20, RUE ARTHUR THINNES (BUREAU DE POSTE)`,17:00,MONDERCANGE,66832.44440000046,66204.09279954332
1013,Normale,`CITE JACQUES STEICHEN (COIN RUE D'ESCH / CITE JACQUES STEICHEN)`,09:00,MONDERCANGE,66789.3517153846,65140.2678360798
1014,Normale,`73, GRAND-RUE ((ARRET DE BUS))`,11:30,MONDERCANGE,66975.4352021723,66421.0774799096
1015,Normale,`94, RUE D'ESCH`,09:00,MONDERCANGE,67009.68570000025,65526.89809954167
1016,Normale,`RUE DE LIMPACH ((TERRAIN DE FOOTBALL))`,08:30,MONDERCANGE,66975.4352021723,66421.0774799096
1017,Normale,`27, RUE DE PONTPIERRE ((COIN RUE DE PONTPIERRE/RUE DE NEUDORF))`,11:00,MONDERCANGE,66975.4352021723,66421.0774799096
1018,Normale,`1, RUE DE SANEM`,09:30,NIEDERKORN,60627.00889999978,67093.26249954109
1019,Normale,`144, AVENUE DE LA LIBERTE`,08:30,NIEDERKORN,59985.73079999999,66342.29919954207
102,Normale,`200, RUE DE KIRCHBERG (ARRET BUS)`,09:00,LUXEMBOURG,78521.03629999979,77173.80359954583
1020,Normale,`33, RUE DE L'EGLISE`,10:00,NIEDERKORN,59742.18989999965,66908.97679954213
1021,Normale,`37, ROUTE DE PETANGE`,09:00,NIEDERKORN,59858.900200000055,67424.1404995419
1023,Normale,`RUE MATHENDAHL`,08:30,NIEDERKORN,60161.9212499999,67578.2058745426
1024,Normale,`187, AVENUE DE LA LIBERTE (HOPITAL NIEDERCORN INTERIEUR)`,15:30,NIEDERKORN,59592.66459999977,66479.88089954035
1025,Normale,`ROUTE DE PETANGE (MAISON DE RETRAITE)`,11:00,NIEDERKORN,59864.7085472728,67607.3294649969
1026,Normale,`50, ROUTE PRINCIPALE`,10:00,NOERTZANGE,72045.22709999981,63757.17529954151
1027,Normale,`RUE DE LA GARE (GARE CFL)`,10:30,NOERTZANGE,71477.4719913794,63656.2119064376
1028,Normale,`1, RUE DE KEHLEN`,08:30,NOSPELT,68498.80730000047,82109.82439954816
1029,Normale,`1, RUE PIERRE DUPONG`,10:30,DIFFERDANGE,60894.94469999986,64779.36159954181
103,Normale,`RUE PIERRE-ELOI SCHOUE`,09:30,LUXEMBOURG,77754.7124714286,76817.9282281172
1030,Normale,`15, RUE HUBERT CLEMENT`,08:00,DIFFERDANGE,60630.15369999964,64737.16429954074
1031,Normale,`2, RUE DES MINES`,09:00,OBERKORN,59852.589300000094,64057.917799540824
1032,Normale,`2, RUE PRINCE HENRI`,09:00,OBERKORN,60028.6934642857,64170.4796656126
1033,Normale,`34, RUE JEAN GALLION`,11:00,OBERKORN,60062.29540000016,64485.67999954093
1035,Normale,`19, ROUTE DE BELVAUX (BUREAU DE POSTE)`,17:00,OBERKORN,60305.19840000011,64513.68389954183
1036,Normale,`95, ROUTE DE BELVAUX`,08:30,OBERKORN,60761.641499999925,64484.036699540186
1037,Normale,`2, RUE DE NOSPELT`,08:30,OLM,67810.2860000003,80272.9333995471
1038,Normale,`PLACE ROBERT SCHUMAN (CITE KURT -ROND POINT)`,09:30,OLM,67402.5768999998,79199.812899546
1039,Normale,`73, RUE DE CRAUTHEM`,08:30,PEPPANGE,77422.21929999997,65932.24889954206
104,Normale,`6, RUE PAUL NOESEN`,10:00,LUXEMBOURG,78190.80209999996,76984.88459954625
1040,Normale,`RUE DE CRAUTHEM (RUE DE CRAUTHEM ( COUVENT VIS-A-VIS ))`,08:30,PEPPANGE,77340.6069011451,65611.0933323662
1042,Normale,`110, ROUTE DE NIEDERKORN`,11:00,PETANGE,58837.9198880121,69215.2988341551
1044,Normale,`29, ROUTE DE LUXEMBOURG`,09:30,PETANGE,58837.9198880121,69215.2988341551
1045,Normale,`50, RUE ALOYSE KAYSER`,11:00,PETANGE,58837.9198880121,69215.2988341551
1046,Normale,`87, RUE D'ATHUS`,10:00,PETANGE,58837.9198880121,69215.2988341551
1048,Normale,`95, ROUTE DE LUXEMBOURG (COIN CITE CFL / ROUTE DE LUXEMBOURG)`,08:00,PETANGE,58837.9198880121,69215.2988341551
1049,Normale,`RUE LEONARD SCHROEDER (COIN RUE LEONARD SCHROEDER / RUE ANTOINE NANGERONI)`,09:00,PETANGE,58837.9198880121,69215.2988341551
105,Normale,`ROUTE DE BETTEMBOURG (CAMPING)`,10:00,LUXEMBOURG,75912.29535,70465.3669495431
1050,Normale,`210, ROUTE DE LONGWY (COIN RUE DES JARDINS / ROUTE DE LONGWY)`,08:30,PETANGE,58837.9198880121,69215.2988341551
